ASIN,Parent ASIN,Title,Title Excluding Variant,Relationship,Color,Size
B0CVX798P3,B0CVX798P3,"beyonday Friendship Bracelets for Eras Tour, Red 1989 Speak Now Folklore Lover Reputation Midnight Singer Album Inspired Bracelets for Fans Concert Accessories Layering Bracelets for Women Girls Boys SET (11pcs Bracelets) 11pcs","beyonday Friendship Bracelets for Eras Tour, Red 1989 Speak Now Folklore Lover Reputation Midnight Singer Album Inspired Bracelets for Fans Concert Accessories Layering Bracelets for Women Girls Boys",PARENT,"",""
B0CQXBM1R1,B0CVX798P3,"beyonday Friendship Bracelets for Eras Tour, Red 1989 Speak Now Folklore Lover Reputation Midnight Singer Album Inspired Bracelets for Fans Concert Accessories Layering Bracelets for Women Girls Boys SET (11pcs Bracelets) 11pcs","beyonday Friendship Bracelets for Eras Tour, Red 1989 Speak Now Folklore Lover Reputation Midnight Singer Album Inspired Bracelets for Fans Concert Accessories Layering Bracelets for Women Girls Boys",DEFAULT CHILD,"SET (11pcs Bracelets)","11pcs"
B0CVX41ZTF,B0CVX798P3,"beyonday Friendship Bracelets for Eras Tour, Red 1989 Speak Now Folklore Lover Reputation Midnight Singer Album Inspired Bracelets for Fans Concert Accessories Layering Bracelets for Women Girls Boys SET (16pcs Bracelets+11pcs Tattoos) 27pcs","beyonday Friendship Bracelets for Eras Tour, Red 1989 Speak Now Folklore Lover Reputation Midnight Singer Album Inspired Bracelets for Fans Concert Accessories Layering Bracelets for Women Girls Boys",CHILD,"SET (16pcs Bracelets+11pcs Tattoos)","27pcs"
