ASIN,Parent ASIN,Category,Title,Title Excluding Variant,Relationship,Color
B0DHHL428T,B0DHHL428T,"All Departments > Clothing, Shoes & Jewelry > Women > Accessories > Hats & Caps > Cowboy Hats","Funky Junque Cowgirl Hats Women Adjustable Cotton Cowboy Hat Western Country Girls Rhinestone Washed Sun Hat Fashion Rhinestone W/ Chin Strap - Black","Funky Junque Cowgirl Hats Women Adjustable Cotton Cowboy Hat Western Country Girls Rhinestone Washed Sun Hat Fashion",PARENT,""
B0DHHHXPN3,B0DHHL428T,"All Departments > Clothing, Shoes & Jewelry > Women > Accessories > Hats & Caps > Cowboy Hats","Funky Junque Cowgirl Hats Women Adjustable Cotton Cowboy Hat Western Country Girls Rhinestone Washed Sun Hat Fashion Rhinestone W/ Chin Strap - Black","Funky Junque Cowgirl Hats Women Adjustable Cotton Cowboy Hat Western Country Girls Rhinestone Washed Sun Hat Fashion",DEFAULT CHILD,"Rhinestone W/ Chin Strap - Black"
B0DHHJV2ZX,B0DHHL428T,"All Departments > Clothing, Shoes & Jewelry > Women > Accessories > Hats & Caps > Cowboy Hats","Funky Junque Cowgirl Hats Women Adjustable Cotton Cowboy Hat Western Country Girls Rhinestone Washed Sun Hat Fashion Washed W/ Suede String - Denim","Funky Junque Cowgirl Hats Women Adjustable Cotton Cowboy Hat Western Country Girls Rhinestone Washed Sun Hat Fashion",CHILD,"Washed W/ Suede String - Denim"
