ASIN,Parent ASIN,Title,Title Excluding Variant,Relationship,Scent,Size
B0DH7SQ117,B0DH7SQ117,"Tom’s of Maine Clean Coast Natural Deodorant for Men and Women, Aluminum Free, 3.25 oz (Pack of 2) Clean 3.25 Ounce (Pack of 2)","Tom’s of Maine Clean Coast Natural Deodorant for Men and Women, Aluminum Free, 3.25 oz (Pack of 2)",PARENT,"",""
B0CB1RZS2T,B0DH7SQ117,"Tom’s of Maine Mountain Spring Natural Deodorant for Men and Women, Aluminum Free, 3.25 oz Mountain Spring 3.25 Ounce (Pack of 1)","Tom’s of Maine Mountain Spring Natural Deodorant for Men and Women, Aluminum Free, 3.25 oz",CHILD,"Mountain Spring","3.25 Ounce (Pack of 1)"
B0D1GH9G44,B0DH7SQ117,"Tom’s of Maine Clean Coast Natural Deodorant for Men and Women, Aluminum Free, 3.25 oz (Pack of 2) Clean 3.25 Ounce (Pack of 2)","Tom’s of Maine Clean Coast Natural Deodorant for Men and Women, Aluminum Free, 3.25 oz (Pack of 2)",DEFAULT CHILD,"Clean","3.25 Ounce (Pack of 2)"
B0CB1TSPZ2,B0DH7SQ117,"Tom’s of Maine Wild Lavender Natural Deodorant for Women and Men, Aluminum Free, 3.25 oz Wild Lavender 3.25 Ounce (Pack of 1)","Tom’s of Maine Wild Lavender Natural Deodorant for Women and Men, Aluminum Free, 3.25 oz",CHILD,"Wild Lavender","3.25 Ounce (Pack of 1)"
B0CB1VY34R,B0DH7SQ117,"Tom’s of Maine Clean Coast Aluminum Free Natural Deodorant For Women & Men | Goes on Clear | Odor & Wetness Protection | Naturally Derived and Moisture-Locking Ingredients | 3.25 oz Clean Coast 3.25 Ounce (Pack of 1)","Tom’s of Maine Clean Coast Aluminum Free Natural Deodorant For Women & Men | Goes on Clear | Odor & Wetness Protection | Naturally Derived and Moisture-Locking Ingredients | 3.25 oz",CHILD,"Clean Coast","3.25 Ounce (Pack of 1)"
B0CB1S3Z8P,B0DH7SQ117,"Tom’s of Maine North Woods Aluminum Free Natural Deodorant For Women & Men | Goes on Clear | Odor & Wetness Protection | Naturally Derived and Moisture-Locking Ingredients | 3.25 oz North Woods 3.25 Ounce (Pack of 1)","Tom’s of Maine North Woods Aluminum Free Natural Deodorant For Women & Men | Goes on Clear | Odor & Wetness Protection | Naturally Derived and Moisture-Locking Ingredients | 3.25 oz",CHILD,"North Woods","3.25 Ounce (Pack of 1)"
B0CB1TRQDT,B0DH7SQ117,"Tom’s of Maine Sandalwood Vanilla Aluminum Free Natural Deodorant For Women & Men | Goes on Clear | Odor & Wetness Protection | Naturally Derived and Moisture-Locking Ingredients | 3.25 oz Sandalwood Vanilla 3.25 Ounce (Pack of 1)","Tom’s of Maine Sandalwood Vanilla Aluminum Free Natural Deodorant For Women & Men | Goes on Clear | Odor & Wetness Protection | Naturally Derived and Moisture-Locking Ingredients | 3.25 oz",CHILD,"Sandalwood Vanilla","3.25 Ounce (Pack of 1)"
