ASIN,Parent ASIN,Title,Title Excluding Variant,Relationship,Size
B0D1QWHJCP,B0D1QWHJCP,"Mighty Patch™ Original patch from Hero Cosmetics - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes in Face and Skin, Vegan-friendly and Not Tested on Animals (36 Count) 36 Count (Pack of 1)","Mighty Patch™ Original patch from Hero Cosmetics - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes in Face and Skin, Vegan-friendly and Not Tested on Animals (36 Count)",PARENT,""
B074PVTPBW,B0D1QWHJCP,"Mighty Patch™ Original patch from Hero Cosmetics - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes in Face and Skin, Vegan-friendly and Not Tested on Animals (36 Count) 36 Count (Pack of 1)","Mighty Patch™ Original patch from Hero Cosmetics - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes in Face and Skin, Vegan-friendly and Not Tested on Animals (36 Count)",DEFAULT CHILD,"36 Count (Pack of 1)"
B07B4KQVK6,B0D1QWHJCP,"Hero Cosmetics Mighty Patch™ Original Patch - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes, Spot Stickers for Face and Skin (72 Count) 72 Count (Pack of 1)","Hero Cosmetics Mighty Patch™ Original Patch - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes, Spot Stickers for Face and Skin (72 Count)",CHILD,"72 Count (Pack of 1)"
B09S8KH1WD,B0D1QWHJCP,"Mighty Patch Original - Hydrocolloid Acne Pimple Patch Spot Treatment (24 count) 24 Count (Pack of 1)","Mighty Patch Original - Hydrocolloid Acne Pimple Patch Spot Treatment (24 count)",CHILD,"24 Count (Pack of 1)"
