ASIN,Parent ASIN,Title,Title Excluding Variant,Relationship,Color
B07FD67916,B07FD67916,"Green Beaded Chargers (PACK of 12) Green Charger Plates Set of 12 Polypropylene Material, Xmas Charger Plates Charger & Service Plates (Green Beaded)","Green Beaded Chargers (PACK of 12) Green Charger Plates Set of 12 Polypropylene Material, Xmas Charger Plates Charger & Service Plates (Green Beaded)",PARENT,""
B07FCZXG4R,B07FD67916,"Green Beaded Chargers (PACK of 12) Green Charger Plates Set of 12 Polypropylene Material, Xmas Charger Plates Charger & Service Plates (Green Beaded)","Green Beaded Chargers (PACK of 12) Green Charger Plates Set of 12 Polypropylene Material, Xmas Charger Plates Charger & Service Plates (Green Beaded)",DEFAULT CHILD,"Green Beaded"
