ASIN,Parent ASIN,Title,Relationship
B09DQ7YLNX,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Miami Redhawks - Red, 18oz) 18oz Miami Redhawks - Red",CHILD
B09DQ8BKM8,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Iowa State Cyclones - Maroon, 18oz) 18oz Iowa State Cyclones - Maroon",CHILD
B09DQ8HNQ9,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Illinois State Redbirds - Red, 18oz) 18oz Illinois State Redbirds - Red",CHILD
B09DQ6D8Y6,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Oregon State Beavers - Black, 18oz) 18oz Oregon State Beavers - Black",CHILD
B09DQ85K2C,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (USF Bulls - Green, 18oz) 18oz USF Bulls - Green",CHILD
B0CHXN3QM8,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Washington Huskies - Black, 18oz) 18oz Washington Huskies - Black",CHILD
B09DQ873MQ,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Ohio Bobcats - Green, 18oz) 18oz Ohio Bobcats - Green",CHILD
B0C6B5ZPQ6,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Jackson State University - Navy, 18oz) 18oz Jackson State University - Navy",CHILD
B09DQ72B68,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Vanderbilt Commodores - Black, 18oz) 18oz Vanderbilt Commodores - Black",CHILD
B09DQ7W4DV,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Baylor Bears - Green, 18oz) 18oz Baylor Bears - Green",CHILD
B09DQ7W4DW,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Michigan Wolverines - Navy, 18oz) 18oz Michigan Wolverines - Navy",CHILD
B09DQ6VKR2,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Arkansas Razorbacks - Cardinal, 18oz) 18oz Arkansas Razorbacks - Cardinal",CHILD
B09DQ93Q65,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Purdue Boilermakers - Black, 18oz) 18oz Purdue Boilermakers - Black",CHILD
