Input ASIN,Parent ASIN,Title,Brand,Variants
B00UCFG8N6,undefined,"Claddagh .925 Sterling Silver Large 1.5 Inch Jesus Piece Pendant for Men with Crown of Thorns","Claddagh Gold","No variants"
B0B9VY2NBV,B0B9W18MMQ,"Solid .925 Sterling Silver Good Luck Symbol Thick Band Ring - Choice of Size","Claddagh Gold","B0B9W8MV9M|B0B9W39TBZ|B0B9VL3SS1|B0B9WBFZ28|B0B9VY2NBV|B0B9VW74RF|B0B9W1DS4R|B0B9WD1PW9|B0B9W9FY33|B0B9W9867D|B0B9VZWFMY|B0B9WMBZXC|B0B9VZYBJB|B0B9WKK24H|B0B9WQSJ35|B0B9WC3QDG|B0B9V4PWL8|B0B9W85JZY|B0B9WHTSQF|B0B9W79MNC|B0B9WQQ23T|B0B9W5H5GH|B0B9VXYKBH|B0B9WDFJJW|B0B9WQNZ47|B0B9VFCP6V|B0B9W88YYG|B0B9WMCNMX|B0B9W13NNW|B0B9VY57MP|B0B9WQWHVX|B0B9VL6MVF|B0B9VCFCJS"
