ASIN,Parent ASIN,Title,Title Excluding Variant,Relationship,Color
B0CT1YK8W7,B0CT1YK8W7,"Liddit Crockpot Lid Holder - Easy to Use Crock Pot Lid Holder for Stovetop for Kitchen Organization - Durable and Space-Saving Slow Cooker Lid Holder (Black)","Liddit Crockpot Lid Holder - Easy to Use Crock Pot Lid Holder for Stovetop for Kitchen Organization - Durable and Space-Saving Slow Cooker Lid Holder (Black)",PARENT,""
B0C2JPKLC6,B0CT1YK8W7,"Liddit Crockpot Lid Holder Attachment, Slow Cooker Lid Holder Made Of Durable Material, Easy To Use Design, Multitasking Kitchen Tool, Space-Saving Design, Lid Holder While Cooking (Silver)","Liddit Crockpot Lid Holder Attachment, Slow Cooker Lid Holder Made Of Durable Material, Easy To Use Design, Multitasking Kitchen Tool, Space-Saving Design, Lid Holder While Cooking (Silver)",CHILD,"Silver"
B0C2NXK3GT,B0CT1YK8W7,"Liddit Crockpot Lid Holder - Easy to Use Crock Pot Lid Holder for Stovetop for Kitchen Organization - Durable and Space-Saving Slow Cooker Lid Holder (Black)","Liddit Crockpot Lid Holder - Easy to Use Crock Pot Lid Holder for Stovetop for Kitchen Organization - Durable and Space-Saving Slow Cooker Lid Holder (Black)",DEFAULT CHILD,"Black"
