ASIN,Parent ASIN,Title,Title Excluding Variant,Relationship,Color,Size
B09VYLJT2V,B09VYLJT2V,"Tennis Ball Picker Upper for Rackets - Compact and Lightweight Tennis Accessories (Youth Size Green, Adult Black) Black Pack of 1","Tennis Ball Picker Upper for Rackets - Compact and Lightweight Tennis Accessories (Youth Size Green, Adult Black)",PARENT,"",""
B07SZ49WNL,B09VYLJT2V,"Tennis Ball Picker Upper for Rackets - Compact and Lightweight Tennis Accessories (Youth Size Green, Adult Black) Black Pack of 1","Tennis Ball Picker Upper for Rackets - Compact and Lightweight Tennis Accessories (Youth Size Green, Adult Black)",DEFAULT CHILD,"Black","Pack of 1"
B07T4G3RWC,B09VYLJT2V,"Tennis Ball Picker Upper for Rackets - Compact and Lightweight Tennis Accessories (Youth Size Green, Adult Black) Green Pack of 1","Tennis Ball Picker Upper for Rackets - Compact and Lightweight Tennis Accessories (Youth Size Green, Adult Black)",CHILD,"Green","Pack of 1"
